_key,_ko,_en
earth4_comment,수정창을 적에게 발사한다,Fires a crystal spear at the enemy
nec5_comment,적에게 저주를 건다,Casts a curse on the enemy
nec6_comment,강력한 악마로 변신을 한다,Transforms into a powerful demon
sum5_comment,악마를 소환한다,Summons a demon
fire5_comment,작은 불꽃으로 적을 공격한다,Attacks the enemy with a small flame
fire7_comment,화염 화살로 적을 공격한다,Attacks the enemy with a fire arrow
fire3_comment,무기에 화염의 힘을 더한다,Empowers the weapon with the power of flame
fire4_comment,화염구로 적을 공격한다,Attacks the enemy with a fireball
fire2_comment,화염 벽을 만든다,Creates a wall of fire
cold1_comment,갑옷에 냉기를 더한다,Infuses armor with frost
cold2_comment,냉기를 이용해서 적을 공격한다,Attacks the enemy using frost
cold6_comment,냉기의 힘으로 체력을 회복한다,Recovers health using the power of frost
cold7_comment,차가운 냉기로 적을 얼린다,Freezes the enemy with chilling cold
cold8_comment,얼음 화살로 적을 공격한다,Attacks the enemy with an ice arrow
poison1_comment,독침으로 적을 공격한다,Attacks the enemy with a poison sting
poison2_comment,둥그런 맹독으로 적을 공격한다,Attacks the enemy with a venomous orb
poison3_comment,무기에 맹독을 바른다,Coats the weapon with poison
poison5_comment,맹독으로 만든 폭탄을 터트려서 공격한다,Detonates a poison bomb to attack
poison6_comment,넓은 범위에 맹독 구름을 소환한다,Summons a poison cloud over a wide area
earth5_comment,작은 모래 바람으로 적을 공격한다,Attacks the enemy with a small sandstorm
earth1_comment,암석 화살로 적을 공격한다,Attacks the enemy with a stone arrow
earth2_comment,적을 마비 시킨다,Paralyzes the enemy
earth3_comment,단단한 석상으로 변신한다,Transforms into a solid statue
nec1_comment,해골을 소환한다,Summons a skeleton
nec2_comment,사악한 기운으로 적을 공격한다,Attacks the enemy with evil energy
nec3_comment,좀비를 소환한다,Summons a zombie
nec4_comment,언데드에게 강력한 공격을 한다,Deals a powerful blow to undead
sum1_comment,작은 동물을 소환한다,Summons a small animal
sum2_comment,늑대를 소환한다,Summons a wolf
sum3_comment,코끼리를 소환한다,Summons an elephant
sum4_comment,요정을 소환한다,Summons a fairy
Adder,살무사,Adder
Ancient Rich,고대 리치,Ancient Lich
Balrug,발록,Balrug
Baphomet,바포메트,Baphomet
Bat,박쥐,Bat
Bear,곰,Bear
Beholder,비홀더,Beholder
Black Bear,흑곰,Black Bear
Cyclops Named,외눈파괴자 모르그,One-Eyed Destroyer Morg
Cyclops,싸이클롭스,Cyclops
Dark Fiend,어둠의 옵스큐러,Dark Fiend
Dog,강아지,Dog
Dwarf Carpenter,드워프 나무꾼,Dwarf Carpenter
Dwarf Gimli,작은 거인 김리,Dwarf Gimli
Dwarf,드워프,Dwarf
Elephant Dire,광폭의 코끼리,Elephant Dire
Elephant Hell,지옥의 코끼리,Elephant Hell
Elephant,코끼리,Elephant 
Elf Blade Master,엘프 검술사,Elf Blade Master
Elf Bow Master,엘프 궁술사,Elf Bow Master
Elf Death Mage,엘프 사령술사,Elf Necromancer
Elf Demonologist,엘프 악마술사,Elf Demonologist
Elf Knight,엘프 기사,Elf Knight
Elf Magi,엘프 마법사,Elf Mage
Elf,엘프,Elf
Ettin,에틴,Ettin
Eye Of Floating,떠다니는 불안정안 눈,Eye Of Floating
Eye Of Gold,탐욕스러운 황금의 눈,Eye Of Gold
Eye Of Green,초록 독기,Eye Of Green
Eye Of Walk,걸어다디는 감시자,Eye Of Walk
Giant Magi,거인 마법사,Giant Magi
Giant,거인,Giant
Golem,골렘,Golem
Green Fiend,녹염의 에버그린,Green Fiend
Human Named,마녀 제시카,Witch Jessica
Ice Fiend,빙결의 크라이오,Ice Fiend
Imp Fire,파이어 임프,Imp Fire
Imp Ice,아이스 임프,Imp Ice
Imp Iron,아이언 임프,Imp Iron
Imp Poision,포이즌 임프,Imp Poison
Iron Fiend,무쇠의 스틸드라,Iron Fiend
JangshMaster,강시 마스터,Jiangshi Master
Jiangshi,강시 대장,Jiangshi General
Jiangshi2,강시,Jiangshi
Jio,저팔계,Pigsy
Koblod Crown,코볼트 광대,Kobold Crown
Koblod,코볼트,Kobold
Kobold Archer,코볼트 궁수,Kobold Archer
Kobold Chief,코볼트 대장,Kobold Chief
Kobold King,코볼트 킹,Kobold King
Kobold Mage,코볼트 마법사,Kobold Mage
Korea Bridal Mask,각시탈,Bridal Mask
Korea Dokkebi,도깨비,Dokkebi
Korea Gomiho,구미호,Gumiho
Korea Harubang,돌하루방,Harubang
Korea Hong_gil_dong,홍길동,Hong Gil-dong
Korea Jangsug,장승,Jangseung
Korea Man Ghost,저승사자,Death Messenger
Korea Woman Ghost,처녀귀신,Female Ghost
Little Devi Dark,다크 데빌,Little Dark Devi 
Little Devi Fire,파이어 데빌,Little Fire Devi 
Little Devi Green,포이즌 데빌,Little Poison Devi 
Little Devi Ice,아이스 데빌,Little Ice Devi 
Little Devi Iron,아이언 데빌,Little Iron Devi 
Mana Viper,마나 바이퍼,Mana Viper
Manticore,만티코어,Manticore
Merfork Baker,머포크 요리사,Merfolk Chef
Merfork Javelineer,머포크 재벌리너,Merfolk Javelineer
Merfork Warrier,머포크 워리어,Merfolk Warrior
Merfork,머포크,Merfolk
Minota,미노타우르스,Minotaur
Mummy Anubis,아누비스,Mummy Anubis
Mummy Pharaoh,미라 파라오,Mummy Pharaoh
Mummy Warrier,미라 워리어,Mummy Warrior
Mummy,미라,Mummy
Naga Azura,붉은 시선 아주라,Naga Azura
Naga Magi,나가 마법사,Naga Magi
Naga Master,나가 마스터,Naga Master
Naga Medusa,메두사,Naga Medusa
Naga SharpShooter,나가 슈터,Naga SharpShooter
Naga Warrier,나가 워리어,Naga Warrior
Naga,나가,Naga
Ogre Red,레드 오우거,Red Ogre
Ogre,오우거,Ogre
Ork HighMage,오크 하이메이지,Ork HighMage
Ork King,오크 킹,Ork King
Ork Knight,오크 나이트,Ork Knight
Ork Mage,오크 메이지,Ork Mage
Ork Named,외눈박이 크룩,One-Eyed Crook
Ork Rider,오크 라이더,Ork Rider
Ork Warrier,오크 워리어,Ork Warrior
Ork,오크,Ork
Plant,식인 식물,Man-eating Plant
Rat,쥐,Rat
Reaper,리퍼,Reaper
Rich,리치,Lich
Sa,사오정,Sandy
Skeleton Archer,스켈레톤 궁수,Skeleton Archer
Skeleton Axe,스켈레톤 워리어,Skeleton Warrior
Skeleton,스켈레톤,Skeleton
Slug Named,느림의 에스카르고스,Escargoss the Slow
Slug,달팽이,Slug
Son,손오공,Monkey King
Sprite Earth,땅의 정령,Sprite Earth
Sprite Fire,불의 정령,Sprite Fire
Sprite Ice,냉기의 정령,Sprite Ice
Sprite Light,빛의 정령,Sprite Light
Troll Deep Assasin,딥 트롤 어쌔신,Deep Troll Assassin
Troll Deep Shaman,딥 트롤 샤먼,Deep Troll Shaman
Troll Deep,딥 트롤,Deep Troll 
Troll Magision,트롤 매지션,Troll Magician
Troll,트롤,Troll
Wolf Ware,웨어울프,Wolf Ware
Wolf,울프,Wolf
Zombie Giant,좀비 거인,Zombie Giant
Zombie Knight,좀비 기사,Zombie Knight
Zombie Magi,좀비 마법사,Zombie Mage
Zombie Miner,좀비 광부,Zombie Miner
Zombie1,좀비,Zombie
Zombie3,좀비,Zombie
Adder_comment,독을 가진 작은 뱀,A small venomous snake
Ancient Rich_comment,고대의 강력한 언데드 마법사 ,An ancient undead sorcerer
Balrug_comment,불타는 지옥의 악마,A fiery demon from the underworld
Baphomet_comment,염소 머리의 마왕,A demon lord with a goat’s head
Bat_comment,어둠 속을 나는 박쥐,A bat flying through darkness
Bear_comment,야생의 강력한 곰,A powerful wild bear
Beholder_comment,커다란 눈으로 떠다니는 괴물,A floating monster with a large eye
Black Bear_comment,검고 더 사나운 곰,"A fiercer, black-colored bear"
Cyclops Named_comment,사나운 외눈 파괴자 모르그,"Morg, the Ferocious One-Eyed Destroyer"
Cyclops_comment,외눈을 가진 거대한 괴물,A giant monster with a single eye
Dark Fiend_comment,어둠에서 태어난 악마,A fiend born from darkness
Dog_comment,평범한 사냥개,A common hunting dog
Dwarf Carpenter_comment,도끼를 든 드워프 목수,A dwarf carpenter wielding an axe
Dwarf Gimli_comment,용감한 전사 김리 드워프,Brave dwarf warrior named Gimli
Dwarf_comment,작지만 강인한 드워프,A small but sturdy dwarf
Elephant Dire_comment,흉포한 야생 코끼리,A ferocious wild elephant
Elephant Hell_comment,지옥에서 온 코끼리,An elephant from the depths of hell
Elephant_comment,평범한 대형 코끼리,A regular large elephant
Elf Blade Master_comment,검술에 능한 엘프,An elf master of swordsmanship
Elf Bow Master_comment,활을 다루는 엘프 명사수,An elf expert in archery
Elf Death Mage_comment,죽음을 다루는 엘프 마법사,An elf necromancer
Elf Demonologist_comment,악마를 연구하는 엘프,An elf who studies demons
Elf Knight_comment,중무장한 엘프 기사,A heavily armored elf knight
Elf Magi_comment,마법을 다루는 엘프,An elf proficient in magic
Elf_comment,민첩하고 지혜로운 종족,An agile and wise race
Ettin_comment,두 개의 머리를 가진 오우거,A two-headed ogre
Eye Of Floating_comment,떠다니는 괴기한 눈,A bizarre floating eye
Eye Of Gold_comment,황금빛의 떠다니는 눈,A golden floating eye
Eye Of Green_comment,초록색 기운의 눈,A floating eye of green energy
Eye Of Walk_comment,걸어다니는 눈 괴물,A walking eye creature
Giant Magi_comment,마법을 쓰는 거대한 거인,A giant who wields powerful magic
Giant_comment,산처럼 큰 거인,A colossal humanoid creature
Golem_comment,생명이 깃든 돌덩이,A living construct made of stone
Green Fiend_comment,초록색 악마,A green-skinned demonic creature
Human Named_comment,강력한 마법을 구사하는 아름답고 위험한 마녀,A beautiful yet dangerous witch who wields powerful magic
Ice Fiend_comment,얼음의 힘을 지닌 악마,A fiend empowered by ice
Imp Fire_comment,불의 기운을 지닌 임프,A fire-aligned imp
Imp Ice_comment,얼음 속성의 임프,An imp with ice powers
Imp Iron_comment,단단한 피부의 금속 임프,"A tough, iron-skinned imp"
Imp Poision_comment,독을 사용하는 임프,A poisonous imp
Iron Fiend_comment,금속으로 된 악마,A fiend with an iron body
JangshMaster_comment,강한 기운의 강시 주술사,A powerful jiangshi master
Jiangshi_comment,점프하며 움직이는 강시 대장,A hopping jiangshi general
Jiangshi2_comment,점프하며 움직이는 강시,A hopping jiangshi
Jio_comment,욕심 많고 장난기 넘치는 돼지 요괴,A greedy and mischievous pig demon
Koblod Crown_comment,왕관을 쓴 코볼드,A kobold wearing a crown
Koblod_comment,소형 도적형 몬스터,A small goblin-like creature
Kobold Archer_comment,활을 쏘는 코볼드,A kobold skilled in archery
Kobold Chief_comment,코볼드 부족장,The chief of the kobold tribe
Kobold King_comment,코볼드의 왕,The ruling king of kobolds
Kobold Mage_comment,마법을 사용하는 코볼드,A kobold who casts magic
Korea Bridal Mask_comment,하얀 탈을 쓴 전사,A warrior wearing a white bridal mask
Korea Dokkebi_comment,장난기 많은 도깨비,A mischievous Dokkebi
Korea Gomiho_comment,꼬리가 아홉 개인 여우,A nine-tailed fox Gumiho
Korea Harubang_comment,제주의 돌신상 전사,A warrior resembling the Dol Hareubang
Korea Hong_gil_dong_comment,의적 홍길동,"The heroic outlaw, Hong Gil-dong"
Korea Jangsug_comment,마을을 수호하는 나무로 만든 수호신,A wooden guardian deity that protects villages
Korea Man Ghost_comment,원혼이 된 저승 사자,A vengeful death messenger
Korea Woman Ghost_comment,한을 품은 처녀 귀신,A sorrowful female ghost
Little Devi Dark_comment,어둠의 힘을 지닌 작은 악마,A small demon with dark powers
Little Devi Fire_comment,불의 힘을 지닌 작은 악마,A small demon infused with fire
Little Devi Green_comment,자연의 힘을 지닌 작은 악마,A small demon empowered by nature
Little Devi Ice_comment,얼음 마법을 쓰는 작은 악마,A small demon who wields ice magic
Little Devi Iron_comment,강철처럼 단단한 작은 악마,A small demon with an iron body
Mana Viper_comment,마력을 지닌 독사,A venomous snake charged with mana
Manticore_comment,날개 달린 전갈 꼬리의 괴수,A winged beast with a scorpion tail
Merfork Baker_comment,요리를 잘하는 인어족 요리사,A skilled merfolk chef
Merfork Javelineer_comment,작살을 던지는 인어족 전사,A merfolk warrior who throws javelins
Merfork Warrier_comment,전투에 능한 인어족,A skilled merfolk warrior
Merfork_comment,바다를 지키는 인어족,A sea-dwelling merfolk creature
Minota_comment,미궁에 사는 반인반수 괴물,"A half-man, half-beast of the labyrinth"
Mummy Anubis_comment,아누비스의 힘을 지닌 미라,A mummy blessed by the power of Anubis
Mummy Pharaoh_comment,파라오의 저주받은 미라,A cursed mummy of a pharaoh
Mummy Warrier_comment,무장한 전사 미라,A mummified warrior equipped for battle
Mummy_comment,무덤에서 깨어난 미라,An undead awakened from an ancient tomb
Naga Azura_comment,불길한 붉은 비늘을 지닌 전설의 나가 전사,A legendary naga warrior with ominous crimson scales
Naga Magi_comment,마법을 사용하는 나가,A naga spellcaster
Naga Master_comment,나가 군단을 지휘하는 여왕이자 최고 지도자,The queen and supreme commander of the Naga army
Naga Medusa_comment,적을 돌로 만드는 메두사 나가,A naga Medusa who turns foes to stone
Naga SharpShooter_comment,저격 능력이 뛰어난 나가 궁수,A naga sharpshooter with deadly aim
Naga Warrier_comment,강력한 전사형 나가,A strong warrior of the naga race
Naga_comment,인간과 뱀의 혼종 나가,A snake-human hybrid creature
Ogre Red_comment,붉은 피부의 흉폭한 오우거,A ferocious red-skinned ogre
Ogre_comment,거대한 덩치의 난폭한 오우거,A brutal giant brute
Ork HighMage_comment,상급 마법을 쓰는 오크,An orc who commands powerful magic
Ork King_comment,오크들의 왕,The mighty king of the orcs
Ork Knight_comment,무장을 갖춘 오크 기사,A fully armored orc knight
Ork Mage_comment,마법을 쓰는 오크,An orc magic user
Ork Named_comment,잔인한 외눈박이 오크,A cuel one-eyed Orc
Ork Rider_comment,짐승을 타고 다니는 오크,An orc riding a beast
Ork Warrier_comment,전투에 특화된 오크 전사,A battle-hardened orc warrior
Ork_comment,힘과 숫자를 앞세운 야만족,Brutish warriors who rely on strength and numbers
Plant_comment,먹이를 기다리는 육식 식물,A carnivorous plant waiting to devour prey
Rat_comment,어두운 곳에 사는 작은 해충,A small pest dwelling in the dark
Reaper_comment,죽음을 수확하는 사신,A harbinger of death who reaps souls
Rich_comment,영혼을 봉인한 언데드 마법사,An undead sorcerer bound to a phylactery
Sa_comment,모래와 힘을 다루는 요괴,A powerful companion who wields sand and strength
Skeleton Archer_comment,원거리 공격을 하는 해골,A skeletal archer with deadly aim
Skeleton Axe_comment,무장한 해골 전사,An armored skeletal warrior
Skeleton_comment,걸어다니는 해골,A skeleton fighter made of bones
Slug Named_comment,매우 느리지만 단단한 거대 달팽이,A giant snail that's slow but heavily armored
Slug_comment,미끄러지며 이동하는 약한 생물,"A weak, slimy creature that slides slowly"
Son_comment,재치와 무공을 겸비한 원숭이 왕,A monkey king skilled in martial arts and trickery
Sprite Earth_comment,대지의 힘을 지닌 작은 정령,A small spirit empowered by the earth
Sprite Fire_comment,불꽃처럼 활발한 정령,A fiery spirit full of energy
Sprite Ice_comment,냉기를 내뿜는 차가운 정령,A cold spirit that emanates frost
Sprite Light_comment,치유와 보호의 힘을 지닌 정령,A spirit of light that heals and protects
Troll Deep Assasin_comment,그림자 속에서 암살하는 강인한 트롤,A sturdy troll assassin who strikes from the shadows
Troll Deep Shaman_comment,주술과 자연을 다루는 강인한 트롤,A sturdy troll shaman who commands spirits and nature
Troll Deep_comment,깊은 동굴에 사는 강인한 트롤,A sturdy troll dwelling in deep caves
Troll Magision_comment,마법을 쓰는 희귀한 트롤,A rare troll capable of using magic
Troll_comment,강력한 체력의 거대 몬스터,A large monster with incredible stamina
Wolf Ware_comment,인간의 형상을 한 늑대인간,A fearsome werewolf that walks on two legs
Wolf_comment,집단으로 사냥하는 야생 늑대,A wild wolf that hunts in packs
Zombie Giant_comment,거대한 시체가 되살아난 좀비,A massive undead risen from a corpse
Zombie Knight_comment,부패한 갑옷을 입은 기사형 좀비,A decaying knight risen from the grave
Zombie Magi_comment,죽음 속에서도 마법을 쓰는 좀비,A zombie who retains dark magical powers
Zombie Miner_comment,탄광에서 되살아난 좀비,A reanimated miner who once dug deep
Zombie1_comment,느리지만 끈질긴 좀비,A slow but relentless undead
Zombie3_comment,살아있는 자를 집요하게 쫓는 좀비,A corpse that persistently hunts the living
randartOption1,튼튼한 ,Sturdy 
randartOption2,똑똑한 ,Clever 
randartOption3,강력한 ,Mighty 
randartOption4,수동적인 ,Passive 
randartOption5,화려한 ,Glorious 
randartOption6,뜨거운 ,Fiery 
randartOption7,차가운 ,Frosty 
randartOption8,단단한 ,Solid 
randartOption9,어두운 ,Dark 
randartOption10,위험한 ,Perilous 
randartOption11,날렵한 ,Swift 
randartOption12,피의 ,of Blood 
randartOption13,마력의 ,of Mana 
randartOption14,공격의 ,of Attack 
randartOption15,수비의 ,of Defense 
randartOption16,마법 공격의 ,of Spellpower 
randartOption17,불의 ,of Fire 
randartOption18,얼음의 ,of Ice 
randartOption19,바위의 ,of Stone 
randartOption20,암흑 저항의 ,of Shadow Resistance 
randartOption21,맹독의 ,of Venom 
randartOption22,회피의 ,of Evasion 
